Product Name,Price,Rating (Out of 5),No. of Reviews,Product Link
"OnePlus 9 5G (Astral Black, 12GB RAM, 256GB Storage)","54,999",4.2,"8,180",https://www.amazon.in/Test-Exclusive_2020_1175-Multi-3GB-Storage/dp/B089MTW733/ref=sr_1_25?keywords=oneplus+nord+2&qid=1640947383&sr=8-25
"(Renewed) OnePlus 9 Pro 5G (Morning Mist, 8GB RAM, 128GB Storage)","54,999",,,https://www.amazon.in/Renewed-OnePlus-Morning-Mist-128GB-Storage/dp/B0968Z7N5W/ref=sr_1_26?keywords=oneplus+nord+2&qid=1640947383&sr=8-26
"Samsung Galaxy M12 (White,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","13,499",4.1,"98,693",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A04562271DLGB1BOXQN9P&url=%2FSamsung-Galaxy-M12-Storage-Replacement%2Fdp%2FB08XGMNKYW%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947383%26sr%3D8-27-spons%26psc%3D1&qualifier=1640947383&id=981771024756435&widgetName=sp_mtf
"Samsung Galaxy M21 2021 Edition (Charcoal Black, 4GB RAM, 64GB Storage) | FHD+ sAMOLED | 6 Months Free Screen Replacement for Prime (SM-M215GZKDINS)","12,999",4.2,"199,329",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A05959972VC9EP67FDW4T&url=%2FSamsung-Charcoal-Storage-Replacement-SM-M215GZKDINS%2Fdp%2FB098NFJXXL%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947383%26sr%3D8-28-spons%26psc%3D1&qualifier=1640947383&id=981771024756435&widgetName=sp_mtf
"(Renewed) OnePlus 9R 5G (Lake Blue, 8GB RAM, 128GB Storage)","34,999",3.7,38,https://www.amazon.in/Renewed-OnePlus-Lake-128GB-Storage/dp/B0968Z6894/ref=sr_1_29?keywords=oneplus+nord+2&qid=1640947383&sr=8-29
"OnePlus 9 Pro 5G (Pine Green, 12GB RAM, 256GB Storage)","69,999",4.3,"7,507",https://www.amazon.in/Test-Exclusive_2020_1171-Multi-3GB-Storage/dp/B089MS8SKL/ref=sr_1_30?keywords=oneplus+nord+2&qid=1640947383&sr=8-30
"(Renewed) OnePlus 9 Pro 5G (Morning Mist, 12GB RAM, 256GB Storage)","57,499",3.1,7,https://www.amazon.in/Renewed-OnePlus-Morning-Mist-256GB-Storage/dp/B0968Y9X4V/ref=sr_1_31?keywords=oneplus+nord+2&qid=1640947383&sr=8-31
"OnePlus 8T 5G (Lunar Silver, 8GB RAM, 128GB Storage)","38,999",4.4,"25,327",https://www.amazon.in/OnePlus-Mirror-Black-128GB-Storage/dp/B085J1PFYB/ref=sr_1_32?keywords=oneplus+nord+2&qid=1640947383&sr=8-32
"(Renewed) OnePlus 6T (Mirror Black, 6GB RAM, 128GB Storage)","23,999",3.9,421,https://www.amazon.in/Renewed-OnePlus-Mirror-Black-Storage/dp/B07KLG3KV1/ref=sr_1_33?keywords=oneplus+nord+2&qid=1640947383&sr=8-33
"(Renewed) OnePlus 8T 5G (Aquamarine Green, 8GB RAM, 128GB Storage)","35,999",3.6,31,https://www.amazon.in/Renewed-OnePlus-Aquamarine-Green-Storage/dp/B08PVGGVJ4/ref=sr_1_34?keywords=oneplus+nord+2&qid=1640947383&sr=8-34
OnePlus 7T Glacier Blue (8GB RAM+256GB Storage),"39,999",4.,"46,583",https://www.amazon.in/Test-Exclusive-748/dp/B07DJLVJ5M/ref=sr_1_35?keywords=oneplus+nord+2&qid=1640947383&sr=8-35
"(Renewed) OnePlus 7T Pro (Haze Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 4085mAH Battery)","39,990",3.8,135,https://www.amazon.in/Renewed-OnePlus-Display-Storage-4085mAH/dp/B0842KM575/ref=sr_1_36?keywords=oneplus+nord+2&qid=1640947383&sr=8-36
"Samsung Galaxy M32 5G (Slate Black, 6GB RAM, 128GB Storage)","20,999",4.2,"16,515",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A03923282PBEL7H7P7G8Z&url=%2FSamsung-Galaxy-Slate-Black-Storage%2Fdp%2FB09CGLRLYM%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947383%26sr%3D8-37-spons%26psc%3D1&qualifier=1640947383&id=981771024756435&widgetName=sp_btf
"Samsung Galaxy M12 (Blue,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh Rate","11,499",4.1,"98,693",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A04564711UOMLCE78NDOJ&url=%2FSamsung-Galaxy-M12-Storage-Processor%2Fdp%2FB08XGDN3TZ%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947385%26sr%3D8-33-spons%26psc%3D1&qualifier=1640947385&id=4766471806090858&widgetName=sp_atf_next
"Samsung Galaxy M32 (Light Blue, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime","14,999",4.2,"24,893",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0980847BGGOY2GJGCR2&url=%2FSamsung-Galaxy-Storage-Months-Replacement%2Fdp%2FB096VD213D%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947385%26sr%3D8-34-spons%26psc%3D1&qualifier=1640947385&id=4766471806090858&widgetName=sp_atf_next
"(Renewed) OnePlus 9 Pro 5G (Stellar Black, 8GB RAM, 128GB Storage)","53,499",3.,4,https://www.amazon.in/Renewed-OnePlus-Stellar-Black-128GB-Storage/dp/B0968YQLX7/ref=sr_1_35?keywords=oneplus+nord+2&qid=1640947385&sr=8-35
"(Renewed) OnePlus 6 (Mirror Black, 6GB RAM, 64GB Storage)","14,999",3.2,289,https://www.amazon.in/Certified-Refurbished-OnePlus-Mirror-Storage/dp/B07D813XWY/ref=sr_1_36?keywords=oneplus+nord+2&qid=1640947385&sr=8-36
"Samsung Galaxy M32 5G (Sky Blue, 8GB RAM, 128GB Storage)","22,999",4.2,"16,515",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A03924841FDQXBJJPZXFQ&url=%2FSamsung-Galaxy-Blue-128GB-Storage%2Fdp%2FB09CGJFY5N%2Fref%3Dsr_1_40_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947385%26sr%3D8-40-spons%26psc%3D1&qualifier=1640947385&id=4766471806090858&widgetName=sp_btf
"Samsung Galaxy M12 (Blue,6GB RAM, 128GB Storage) 6 Months Free Screen Replacement for Prime","13,499",4.1,"98,693",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg4_1?ie=UTF8&adId=A0456571375XL9IXX3EJ7&url=%2FSamsung-Galaxy-M12-Storage-Replacement%2Fdp%2FB08XJG8MQM%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947387%26sr%3D8-49-spons%26psc%3D1&qualifier=1640947387&id=2448875682560499&widgetName=sp_mtf
"Samsung Galaxy M32 5G (Slate Black, 8GB RAM, 128GB Storage)","22,999",4.2,"16,515",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_1?ie=UTF8&adId=A03924282DRXT4E2BKIVG&url=%2FSamsung-Galaxy-Slate-Black-Storage%2Fdp%2FB09CGM3H3Q%2Fref%3Dsr_1_50_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947387%26sr%3D8-50-spons%26psc%3D1&qualifier=1640947387&id=2448875682560499&widgetName=sp_btf
"Samsung Galaxy M32 (Black, 4GB RAM, 64GB Storage) 6 Months Free Screen Replacement for Prime","14,999",4.2,"24,893",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg4_1?ie=UTF8&adId=A09809032P7QCHEJN1VEV&url=%2FSamsung-Galaxy-Storage-Months-Replacement%2Fdp%2FB096VDG9QV%2Fref%3Dsr_1_51_sspa%3Fkeywords%3Doneplus%2Bnord%2B2%26qid%3D1640947387%26sr%3D8-51-spons%26psc%3D1&qualifier=1640947387&id=2448875682560499&widgetName=sp_btf
